ds,sales,sale_1,sale_2,sale_3,promo_1,promo_2,promo_3,promo_4,fd
2015/4/23,"107,936",0,0,0,0,0,0,0,0
2015/4/24,"147,235",0,0,0,0,0,0,0,0
2015/4/25,"102,223",0,0,0,0,0,0,0,0
2015/4/26,"85,094",0,0,0,0,0,0,0,0
2015/4/27,"90,393",0,0,0,0,0,0,0,0
2015/4/28,"232,672",0,0,0,0,0,0,0,0
2015/4/29,"332,907",0,0,0,0,0,0,0,0
2015/4/30,"304,070",0,0,0,0,0,0,0,0
2015/5/1,"272,498",0,0,0,0,0,0,0,0
2015/5/2,"81,818",0,0,0,0,0,0,0,0
2015/5/3,"54,485",0,0,0,0,0,0,0,0
2015/5/4,"67,040",0,0,0,0,0,0,0,0
2015/5/5,"52,600",0,0,0,0,0,0,0,0
2015/5/6,"91,125",0,0,0,0,0,0,0,0
2015/5/7,"166,196",0,0,0,0,0,0,0,0
2015/5/8,"124,033",0,0,0,0,0,0,0,0
2015/5/9,"83,270",0,0,0,0,0,0,0,0
2015/5/10,"108,959",0,0,0,0,0,0,0,0
2015/5/11,"80,280",0,0,0,0,0,0,0,0
2015/5/12,"217,489",0,0,0,0,0,0,0,0
2015/5/13,"209,338",0,0,0,0,0,0,0,0
2015/5/14,"186,314",0,0,0,0,0,0,0,0
2015/5/15,"158,452",0,0,0,0,0,0,0,0
2015/5/16,"80,835",0,0,0,0,0,0,0,0
2015/5/17,"53,944",0,0,0,0,0,0,0,0
2015/5/18,"105,096",0,0,0,0,0,0,0,0
2015/5/19,"54,901",0,0,0,0,0,0,0,0
2015/5/20,"72,278",0,0,0,0,0,0,0,0
2015/5/21,"74,019",0,0,0,0,0,0,0,0
2015/5/22,"1,023,645",1,1,1,0,0,0,0,1
2015/5/23,"363,649",1,1,1,0,0,0,0,0
2015/5/24,"410,771",1,1,1,0,0,0,0,0
2015/5/25,"582,153",1,1,1,0,0,0,0,0
2015/5/26,"539,636",1,1,1,0,0,0,0,0
2015/5/27,"369,868",1,1,1,0,0,0,0,0
2015/5/28,"369,882",1,1,1,0,0,0,0,0
2015/5/29,"270,758",1,1,1,0,0,0,0,0
2015/5/30,"184,678",1,1,1,0,0,0,0,0
2015/5/31,"162,647",1,1,1,0,0,0,0,0
2015/6/1,"196,599",1,1,1,0,0,0,0,0
2015/6/2,"224,416",1,1,1,0,0,0,0,0
2015/6/3,"344,073",1,1,1,0,0,0,0,0
2015/6/4,"300,568",1,1,1,0,0,0,0,0
2015/6/5,"214,732",1,1,1,0,0,0,0,0
2015/6/6,"299,573",1,1,1,0,0,0,0,0
2015/6/7,"147,105",1,1,1,0,0,0,0,0
2015/6/8,"148,222",1,1,1,0,0,0,0,0
2015/6/9,"370,016",1,1,1,0,0,0,0,0
2015/6/10,"330,110",1,1,1,0,0,0,0,0
2015/6/11,"294,824",1,1,1,0,0,0,0,0
2015/6/12,"160,596",1,1,1,0,0,0,0,0
2015/6/13,"148,874",1,1,1,0,0,0,0,0
2015/6/14,"107,057",1,1,1,0,0,0,0,0
2015/6/15,"185,955",1,1,1,0,0,0,0,0
2015/6/16,"98,590",1,1,1,0,0,0,0,0
2015/6/17,"170,978",1,1,1,0,0,0,0,0
2015/6/18,"158,001",1,1,1,0,0,0,0,0
2015/6/19,"129,913",1,1,1,0,0,0,0,0
2015/6/20,"758,026",1,1,1,0,0,0,0,0
2015/6/21,"480,589",1,1,1,0,0,0,0,0
2015/6/22,"500,357",1,1,1,0,0,0,0,0
2015/6/23,"416,324",1,1,1,0,0,0,0,0
2015/6/24,"424,325",1,1,1,0,0,0,0,0
2015/6/25,"483,687",1,1,1,0,0,0,0,0
2015/6/26,"137,797",1,1,1,0,0,0,0,0
2015/6/27,"113,092",1,1,1,0,0,0,0,0
2015/6/28,"91,073",1,1,1,0,0,0,0,0
2015/6/29,"143,067",1,1,1,0,0,0,0,0
2015/6/30,"146,844",1,1,1,0,0,0,0,0
